"Отметка времени","Пользуетесь ли Вы услугами постамата?","Насколько часто Вы используете постаматы?","Что вы посещаете чаще всего из перечисленного?","Где вам было бы удобнее пользоваться постаматами?","Как вы обычно получаете свой заказ?","Как Вы считаете,что больше всего влияет на необходимость установки постамата?","Охарактеризуйте, насколько Вам было бы удобно пользоваться услугами постаматов, если бы они находились на Вашей парковке/остановке/cтанции метро?","По Вашему мнению,где лучше всего установить постамат? [1]","По Вашему мнению,где лучше всего установить постамат? [2]","По Вашему мнению,где лучше всего установить постамат? [3]","По Вашему мнению,где лучше всего установить постамат? [4]","По Вашему мнению,где лучше всего установить постамат? [5]","По Вашему мнению,где лучше всего установить постамат? [6]","По Вашему мнению,где лучше всего установить постамат? [7]"
"2022/11/03 4:49:05 PM GMT+3","Да","Несколько раз в месяц и реже","Бумажные киоски","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом","Очень удобно","МФЦ","Библиотеки/дома культуры","Парковки","Спортивные комплексы","Киоски","Метро/остановки","Жилые дома"
"2022/11/03 4:51:19 PM GMT+3","Да","Несколько раз в месяц и реже","Библиотеки","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Расположение точки рядом с транспортным узлом;Находится по дороге домой;Близость к месту работы/учебы","Очень удобно","Спортивные комплексы","Киоски","Библиотеки/дома культуры","МФЦ","Парковки","Метро/остановки","Жилые дома"
"2022/11/03 4:56:50 PM GMT+3","Да","Раз в месяц и реже","Бумажные киоски","Около дома","Иду за ним специально","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом","Очень удобно","Библиотеки/дома культуры","Спортивные комплексы","МФЦ","Парковки","Киоски","Жилые дома","Метро/остановки"
"2022/11/03 5:00:31 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ)","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Близость к месту работы/учебы","Очень удобно","Метро/остановки","Парковки","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Киоски","Жилые дома"
"2022/11/03 5:01:02 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Очень удобно","МФЦ","Киоски","Спортивные комплексы","Метро/остановки","Библиотеки/дома культуры","Жилые дома","Парковки"
"2022/11/03 5:04:39 PM GMT+3","Да","Раз в месяц и реже","Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Скорее удобно","Жилые дома","Спортивные комплексы","Парковки","Киоски","Библиотеки/дома культуры","МФЦ","Метро/остановки"
"2022/11/03 5:16:53 PM GMT+3","Да","Раз в месяц и реже","Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Находится по дороге домой","Скорее удобно","Парковки","Киоски","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Метро/остановки","Жилые дома"
"2022/11/03 5:25:18 PM GMT+3","Да","Раз в месяц и реже","Бумажные киоски","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Скорее удобно","Спортивные комплексы","Библиотеки/дома культуры","МФЦ","Киоски","Парковки","Метро/остановки","Жилые дома"
"2022/11/03 5:27:42 PM GMT+3","Да","Раз в месяц и реже","Спортивные объекты","Около дома","Во время прогулки","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом","Очень удобно","Спортивные комплексы","Библиотеки/дома культуры","Киоски","МФЦ","Метро/остановки","Парковки","Жилые дома"
"2022/11/03 5:28:40 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ);Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Находится по дороге домой","Очень удобно","Киоски","Библиотеки/дома культуры","Парковки","Спортивные комплексы","МФЦ","Метро/остановки","Жилые дома"
"2022/11/03 5:36:34 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ);Дома культуры и клубы","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Находится по дороге домой","Очень удобно","МФЦ","Киоски","Спортивные комплексы","Библиотеки/дома культуры","Парковки","Жилые дома","Метро/остановки"
"2022/11/03 5:43:06 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ);Библиотеки","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Близость к месту работы/учебы","Очень удобно","Жилые дома","Парковки","Метро/остановки","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Киоски"
"2022/11/03 5:43:58 PM GMT+3","Да","Раз в месяц и реже","Спортивные объекты","Около дома","Иду за ним специально","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Очень удобно","Метро/остановки","Библиотеки/дома культуры","Парковки","МФЦ","Спортивные комплексы","Киоски","Жилые дома"
"2022/11/03 5:47:07 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ)","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Скорее неудобно","Метро/остановки","Парковки","Киоски","Жилые дома","Спортивные комплексы","Библиотеки/дома культуры","МФЦ"
"2022/11/03 6:11:50 PM GMT+3","Да","Несколько раз в месяц","Дома культуры и клубы;Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Расположение точки рядом с транспортным узлом;Близость к месту работы/учебы","Очень удобно","МФЦ","Библиотеки/дома культуры","Спортивные комплексы","Киоски","Жилые дома","Парковки","Метро/остановки"
"2022/11/03 6:19:32 PM GMT+3","Нет","Раз в месяц и реже","Дома культуры и клубы","Около дома","В магазине или торговом центре","Близость к дому","Скорее неудобно","Жилые дома","МФЦ","Парковки","Киоски","Библиотеки/дома культуры","Спортивные комплексы","Метро/остановки"
"2022/11/03 6:28:39 PM GMT+3","Нет","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ)","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком","Скорее удобно","Жилые дома","Киоски","Спортивные комплексы","МФЦ","Библиотеки/дома культуры","Парковки","Метро/остановки"
"2022/11/03 6:33:24 PM GMT+3","Нет","Раз в месяц и реже","Библиотеки;Дома культуры и клубы","Около дома","Во время прогулки","Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Находится по дороге домой","Скорее удобно","Жилые дома","Спортивные комплексы","МФЦ","Библиотеки/дома культуры","Парковки","Киоски","Метро/остановки"
"2022/11/03 6:34:18 PM GMT+3","Нет","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ)","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Находится по дороге домой","Скорее удобно","Метро/остановки","Парковки","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Киоски","Жилые дома"
"2022/11/03 6:35:11 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ);Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Расположение точки рядом с транспортным узлом;Близость к месту работы/учебы","Очень удобно","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Киоски","Парковки","Метро/остановки","Жилые дома"
"2022/11/03 6:43:23 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около дома","Во время прогулки","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом","Очень удобно","МФЦ","Парковки","Библиотеки/дома культуры","Спортивные комплексы","Киоски","Метро/остановки","Жилые дома"
"2022/11/03 6:48:52 PM GMT+3","Да","Раз в месяц и реже","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ)","Около дома","Иду за ним специально","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Очень удобно","МФЦ","Библиотеки/дома культуры","Жилые дома","Спортивные комплексы","Метро/остановки","Парковки","Киоски"
"2022/11/03 6:53:55 PM GMT+3","Нет","Раз в месяц и реже","Библиотеки","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Очень удобно","Жилые дома","Метро/остановки","Парковки","Спортивные комплексы","МФЦ","Библиотеки/дома культуры","Киоски"
"2022/11/03 7:00:47 PM GMT+3","Нет","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Находится по дороге домой;Близость к месту работы/учебы","Скорее удобно","Библиотеки/дома культуры","МФЦ","Парковки","Метро/остановки","Киоски","Спортивные комплексы","Жилые дома"
"2022/11/03 7:11:08 PM GMT+3","Нет","Раз в месяц и реже","Спортивные объекты","на почте","Иду за ним специально","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Находится по дороге домой","Скорее удобно","Метро/остановки","МФЦ","Киоски","Библиотеки/дома культуры","Спортивные комплексы","Парковки","Жилые дома"
"2022/11/03 7:18:09 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Удобно добираться на машине;Близость к месту работы/учебы","Очень удобно","Жилые дома","Парковки","Метро/остановки","Спортивные комплексы","Библиотеки/дома культуры","Киоски","МФЦ"
"2022/11/03 7:24:56 PM GMT+3","Нет","Раз в месяц и реже","Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Скорее удобно","МФЦ","Библиотеки/дома культуры","Киоски","Спортивные комплексы","Парковки","Метро/остановки","Жилые дома"
"2022/11/03 7:37:01 PM GMT+3","Нет","Раз в месяц и реже","Библиотеки","Около дома","Иду за ним специально","Близость к дому;Находится по дороге домой;Близость к месту работы/учебы","Очень удобно","МФЦ","Киоски","Парковки","Метро/остановки","Спортивные комплексы","Библиотеки/дома культуры","Жилые дома"
"2022/11/03 7:42:07 PM GMT+3","Да","Несколько раз в месяц","Многофункциональные центры предоставления государственных и муниципальных услуг(МФЦ);Библиотеки;Дома культуры и клубы;Бумажные киоски","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Возможность дойти пешком;Находится по дороге домой;Близость к месту работы/учебы","Скорее удобно","Жилые дома","Библиотеки/дома культуры","Парковки","Спортивные комплексы","Киоски","МФЦ","Метро/остановки"
"2022/11/03 8:03:51 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Бумажные киоски","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому","Скорее удобно","Метро/остановки","Парковки","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Киоски","Жилые дома"
"2022/11/03 8:41:39 PM GMT+3","Да","Раз в месяц и реже","Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Очень удобно","Киоски","Спортивные комплексы","МФЦ","Библиотеки/дома культуры","Парковки","Метро/остановки","Жилые дома"
"2022/11/03 8:43:44 PM GMT+3","Да","Несколько раз в неделю","Спортивные объекты","Около дома","Иду за ним специально","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Очень удобно","Киоски","Спортивные комплексы","МФЦ","Библиотеки/дома культуры","Метро/остановки","Парковки","Жилые дома"
"2022/11/03 10:00:26 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Возможность дойти пешком;Расположение точки рядом с транспортным узлом;Находится по дороге домой","Скорее удобно","МФЦ","Библиотеки/дома культуры","Спортивные комплексы","Жилые дома","Киоски","Парковки","Метро/остановки"
"2022/11/04 1:17:57 AM GMT+3","Да","Раз в месяц и реже","Библиотеки","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Находится по дороге домой","Очень удобно","Библиотеки/дома культуры","Киоски","МФЦ","Спортивные комплексы","Парковки","Метро/остановки","Жилые дома"
"2022/11/04 1:43:39 AM GMT+3","Да","Несколько раз в месяц","Спортивные объекты","Около дома","Иду за ним специально","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Скорее удобно","Киоски","Библиотеки/дома культуры","МФЦ","Спортивные комплексы","Парковки","Жилые дома","Метро/остановки"
"2022/11/04 10:27:48 AM GMT+3","Да","Несколько раз в месяц","Библиотеки;Дома культуры и клубы;Спортивные объекты","Около работы / института / школы","В магазине или торговом центре","Близость к дому;Расположение точки рядом с транспортным узлом;Близость к месту работы/учебы","Очень удобно","Спортивные комплексы","Киоски","МФЦ","Парковки","Библиотеки/дома культуры","Метро/остановки","Жилые дома"
"2022/11/04 12:13:04 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы","Около работы / института / школы","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Очень удобно","МФЦ","Спортивные комплексы","Библиотеки/дома культуры","Киоски","Парковки","Жилые дома","Метро/остановки"
"2022/11/04 4:04:01 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около дома","На одном из регулярных маршрутов(например, по пути на работу или с работы)","Близость к дому;Возможность дойти пешком;Расположение точки рядом с транспортным узлом","Очень удобно","МФЦ","Киоски","Спортивные комплексы","Парковки","Библиотеки/дома культуры","Метро/остановки","Жилые дома"
"2022/11/04 5:41:37 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около дома","Иду за ним специально","Близость к дому;Возможность дойти пешком;Близость к месту работы/учебы","Очень удобно","Киоски","МФЦ","Спортивные комплексы","Библиотеки/дома культуры","Парковки","Метро/остановки","Жилые дома"
"2022/11/04 6:16:39 PM GMT+3","Да","Раз в месяц и реже","Дома культуры и клубы;Спортивные объекты","Около дома","Иду за ним специально","Близость к дому;Находится по дороге домой;Удобно добираться на машине","Очень удобно","Библиотеки/дома культуры","Парковки","Киоски","МФЦ","Метро/остановки","Спортивные комплексы","Жилые дома"